frame,global_plan_position_x,global_plan_position_y,global_plan_orientation_z,global_plan_orientation_w,ID


map,-0.022356,3.985903,-0.606921,0.794762,2
map,-0.013111,3.952029,-0.657089,0.753813,2
map,-0.014249,3.927055,-0.721328,0.692594,2
map,-0.015142,3.902071,-0.718349,0.695683,2
map,-0.015852,3.877081,-0.716611,0.697473,2
map,-0.016495,3.852089,-0.715438,0.698676,2
map,-0.017037,3.827094,-0.714425,0.699712,2
map,-0.017535,3.802100,-0.713674,0.700478,2
map,-0.017970,3.777104,-0.713011,0.701153,2
map,-0.018374,3.752107,-0.712495,0.701678,2
map,-0.018735,3.727110,-0.712031,0.702148,2
map,-0.019073,3.702112,-0.711651,0.702533,2
map,-0.019379,3.677114,-0.711305,0.702884,2
map,-0.019668,3.652115,-0.711015,0.703177,2
map,-0.019934,3.627116,-0.710755,0.703440,2
map,-0.020185,3.602118,-0.710527,0.703670,2
map,-0.020418,3.577119,-0.710312,0.703887,2
map,-0.020640,3.552119,-0.710127,0.704074,2
map,-0.020846,3.527121,-0.709958,0.704244,2
map,-0.021044,3.502122,-0.709802,0.704402,2
map,-0.021228,3.477122,-0.709657,0.704548,2
map,-0.021405,3.452123,-0.709525,0.704680,2
map,-0.021571,3.427123,-0.709401,0.704805,2
map,-0.021730,3.402124,-0.709288,0.704919,2
map,-0.021880,3.377124,-0.709181,0.705027,2
map,-0.022024,3.352125,-0.709081,0.705127,2
map,-0.022160,3.327125,-0.708984,0.705224,2
map,-0.022290,3.302126,-0.708898,0.705311,2
map,-0.022413,3.277126,-0.708815,0.705395,2
map,-0.022531,3.252126,-0.708734,0.705476,2
map,-0.022644,3.227126,-0.708661,0.705549,2
map,-0.022752,3.202127,-0.708591,0.705619,2
map,-0.022854,3.177126,-0.708521,0.705689,2
map,-0.022952,3.152127,-0.708457,0.705754,2
map,-0.023045,3.127127,-0.708398,0.705814,2
map,-0.023135,3.102127,-0.708338,0.705873,2
map,-0.023219,3.077127,-0.708282,0.705930,2
map,-0.023301,3.052127,-0.708231,0.705981,2
map,-0.023378,3.027128,-0.708180,0.706032,2
map,-0.023453,3.002128,-0.708134,0.706078,2
map,-0.023524,2.977128,-0.708085,0.706127,2
map,-0.023591,2.952128,-0.708039,0.706173,2
map,-0.023656,2.927128,-0.707999,0.706213,2
map,-0.023717,2.902128,-0.707961,0.706251,2
map,-0.023777,2.877128,-0.707921,0.706292,2
map,-0.023833,2.852128,-0.707883,0.706330,2
map,-0.023886,2.827128,-0.707848,0.706365,2
map,-0.023938,2.802129,-0.707816,0.706397,2
map,-0.023987,2.777129,-0.707784,0.706429,2
map,-0.024033,2.752129,-0.707751,0.706462,2
map,-0.024078,2.727129,-0.707722,0.706492,2
map,-0.024120,2.702129,-0.707692,0.706521,2
map,-0.024161,2.677129,-0.707668,0.706545,2
map,-0.024200,2.652129,-0.707641,0.706572,2
map,-0.024236,2.627129,-0.707616,0.706597,2
map,-0.024272,2.602129,-0.707592,0.706621,2
map,-0.024305,2.577129,-0.707568,0.706645,2
map,-0.024337,2.552129,-0.707549,0.706664,2
map,-0.024367,2.527129,-0.707527,0.706686,2
map,-0.024396,2.502129,-0.707509,0.706705,2
