frame,local_plan_position_x,local_plan_position_y,local_plan_orientation_z,local_plan_orientation_w,ID


odom,-0.020120,3.945889,-0.740554,0.671996,2
odom,-0.024587,3.852376,-0.706608,0.707605,2
odom,-0.024635,3.778073,-0.708053,0.706159,2
odom,-0.025020,3.701522,-0.709709,0.704495,2
odom,-0.025639,3.620968,-0.709923,0.704279,2
odom,-0.026291,3.536514,-0.709737,0.704467,2
odom,-0.026952,3.447810,-0.709737,0.704467,2
odom,-0.027654,3.353681,-0.709738,0.704466,2
odom,-0.028408,3.252158,-0.709723,0.704481,2
odom,-0.029169,3.149956,-0.709741,0.704463,2
odom,-0.029916,3.047527,-0.709621,0.704584,2
odom,-0.030689,2.944906,-0.709912,0.704290,2
odom,-0.031534,2.844263,-0.710225,0.703975,2
odom,-0.032365,2.748156,-0.710085,0.704116,2
odom,-0.033129,2.657844,-0.710095,0.704106,2
odom,-0.033853,2.571841,-0.710062,0.704139,2
odom,-0.034545,2.489768,-0.710100,0.704101,2
odom,-0.035197,2.411624,-0.710000,0.704202,2
odom,-0.035822,2.335061,-0.709975,0.704227,2
odom,-0.036663,2.237199,-0.710297,0.703902,2

odom,-0.020390,3.943024,-0.738622,0.674120,3
odom,-0.025024,3.840723,-0.706883,0.707330,3
odom,-0.025027,3.758452,-0.707355,0.706859,3
odom,-0.025335,3.673250,-0.709401,0.704805,3
odom,-0.025937,3.583109,-0.709531,0.704675,3
odom,-0.026562,3.487284,-0.709287,0.704920,3
odom,-0.027206,3.385746,-0.709401,0.704805,3
odom,-0.027910,3.276638,-0.709368,0.704839,3
odom,-0.028609,3.168030,-0.709390,0.704817,3
odom,-0.029287,3.059777,-0.709245,0.704962,3
odom,-0.030041,2.951743,-0.709895,0.704307,3
odom,-0.030967,2.846877,-0.710550,0.703646,3
odom,-0.031931,2.747984,-0.710542,0.703655,3
odom,-0.032837,2.654787,-0.710529,0.703668,3
odom,-0.033665,2.567157,-0.710351,0.703848,3
odom,-0.034427,2.483966,-0.710327,0.703872,3
odom,-0.035143,2.405055,-0.710292,0.703907,3
odom,-0.035834,2.328665,-0.710304,0.703894,3
odom,-0.036663,2.237199,-0.710297,0.703902,3

odom,-0.021336,3.931371,-0.732270,0.681015,4
odom,-0.025528,3.808588,-0.705622,0.708589,4
odom,-0.025570,3.705927,-0.708874,0.705335,4
odom,-0.026236,3.598165,-0.709702,0.704502,4
odom,-0.027051,3.483010,-0.709504,0.704701,4
odom,-0.027923,3.357487,-0.709616,0.704589,4
odom,-0.028843,3.228464,-0.709628,0.704577,4
odom,-0.029743,3.098858,-0.709488,0.704718,4
odom,-0.030660,2.969759,-0.709738,0.704466,4
odom,-0.031611,2.847823,-0.709978,0.704223,4
odom,-0.032567,2.728963,-0.709911,0.704291,4
odom,-0.033432,2.621921,-0.710003,0.704198,4
odom,-0.034264,2.521642,-0.710063,0.704138,4
odom,-0.035058,2.426920,-0.710071,0.704130,4
odom,-0.035826,2.334964,-0.710037,0.704165,4
odom,-0.036889,2.212200,-0.710286,0.703913,4

odom,-0.022705,3.909064,-0.725243,0.688493,5
odom,-0.025572,3.804634,-0.708154,0.706058,5
