frame,amcl_position_x,amcl_position_y,amcl_orientation_z,amcl_orientation_w
map,-0.023403,3.980973,-0.785775,0.618512
map,-0.023403,3.980973,-0.785775,0.618512
map,-0.023403,3.980973,-0.785775,0.618512
map,-0.023403,3.980973,-0.785775,0.618512
map,-0.019759,3.951002,-0.724788,0.688972
map,-0.019759,3.951002,-0.724788,0.688972
map,-0.019759,3.951002,-0.724788,0.688972
map,-0.019759,3.951002,-0.724788,0.688972
map,-0.019759,3.951002,-0.724788,0.688972
map,-0.023495,3.741522,-0.707641,0.706572
map,-0.023495,3.741522,-0.707641,0.706572
map,-0.023495,3.741522,-0.707641,0.706572
map,-0.023495,3.741522,-0.707641,0.706572
map,-0.023495,3.741522,-0.707641,0.706572
map,-0.021623,3.482815,-0.707354,0.706859
map,-0.021623,3.482815,-0.707354,0.706859
map,-0.021623,3.482815,-0.707354,0.706859
map,-0.021623,3.482815,-0.707354,0.706859
map,-0.021623,3.482815,-0.707354,0.706859
map,-0.025586,3.228489,-0.707969,0.706244
map,-0.025586,3.228489,-0.707969,0.706244
map,-0.025586,3.228489,-0.707969,0.706244
map,-0.025586,3.228489,-0.707969,0.706244
map,-0.025586,3.228489,-0.707969,0.706244
map,-0.025692,2.971256,-0.706738,0.707475
map,-0.025692,2.971256,-0.706738,0.707475
map,-0.025692,2.971256,-0.706738,0.707475
map,-0.025692,2.971256,-0.706738,0.707475
map,-0.025692,2.971256,-0.706738,0.707475
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.027179,2.760233,-0.718134,0.695905
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.025110,2.730199,-0.778908,0.627139
map,-0.021885,2.747037,-0.833771,0.552111
map,-0.021885,2.747037,-0.833771,0.552111
map,-0.021885,2.747037,-0.833771,0.552111
map,-0.021885,2.747037,-0.833771,0.552111
map,-0.021790,2.742417,-0.886020,0.463647
map,-0.021790,2.742417,-0.886020,0.463647
map,-0.021790,2.742417,-0.886020,0.463647
map,-0.021790,2.742417,-0.886020,0.463647
map,-0.024575,2.747551,-0.928018,0.372535
map,-0.024575,2.747551,-0.928018,0.372535
map,-0.024575,2.747551,-0.928018,0.372535
map,-0.024575,2.747551,-0.928018,0.372535
map,-0.037774,2.742741,-0.961720,0.274035
map,-0.037774,2.742741,-0.961720,0.274035
