frame,local_costmap_resolution,local_costmap_width,local_costmap_height,local_costmap_origin_pos_x,local_costmap_origin_pos_y,local_costmap_origin_orientation_z,local_costmap_origin_orientation_w
odom,0.025000,160,160,-2.000000,1.950000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.950000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.950000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.950000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.950000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.950000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.875000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,1.375000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.000000,0.825000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.025000,0.725000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.400000,0.575000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-2.825000,0.325000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.075000,-0.150000,0.000000,1.000000
odom,0.025000,160,160,-3.100000,-0.675000,0.000000,1.000000
