frame,child_frame,odom_position_x,odom_position_y,odom_orientation_z,odom_orientation_w,odom_linear_x,odom_angular_z
/odom,/base_footprint,-0.020119,3.945895,0.740559,-0.671991,0.000059,0.000012
/odom,/base_footprint,-0.020120,3.945889,0.740554,-0.671996,0.000104,0.000265
/odom,/base_footprint,-0.020390,3.943024,0.738622,-0.674120,0.065149,0.136344
/odom,/base_footprint,-0.021095,3.934593,0.733719,-0.679453,0.144004,0.203001
/odom,/base_footprint,-0.022421,3.914324,0.726611,-0.687049,0.248654,0.199595
/odom,/base_footprint,-0.024064,3.876941,0.719033,-0.694976,0.357309,0.169881
/odom,/base_footprint,-0.024913,3.846144,0.714856,-0.699272,0.418049,0.136090
/odom,/base_footprint,-0.025613,3.801763,0.711062,-0.703130,0.479402,0.069641
/odom,/base_footprint,-0.026094,3.742446,0.709392,-0.704814,0.501969,0.014900
/odom,/base_footprint,-0.026339,3.702338,0.709244,-0.704963,0.499873,-0.001370
/odom,/base_footprint,-0.026645,3.652435,0.709296,-0.704911,0.499770,-0.001526
/odom,/base_footprint,-0.027017,3.592376,0.709251,-0.704956,0.499893,0.002524
/odom,/base_footprint,-0.027247,3.552413,0.708958,-0.705251,0.499675,0.014864
/odom,/base_footprint,-0.027438,3.512401,0.708732,-0.705478,0.500369,-0.001333
/odom,/base_footprint,-0.027769,3.442406,0.708790,-0.705420,0.499889,0.000064
/odom,/base_footprint,-0.027947,3.402404,0.708464,-0.705747,0.500092,0.017742
/odom,/base_footprint,-0.028078,3.362399,0.708270,-0.705942,0.500002,-0.013691
/odom,/base_footprint,-0.028371,3.292402,0.708777,-0.705433,0.499988,-0.005252
/odom,/base_footprint,-0.028566,3.252403,0.708867,-0.705342,0.499979,-0.002515
/odom,/base_footprint,-0.028771,3.212404,0.708974,-0.705235,0.500032,-0.005024
/odom,/base_footprint,-0.029129,3.142408,0.708475,-0.705736,0.499926,0.027114
/odom,/base_footprint,-0.029254,3.102408,0.708057,-0.706155,0.500063,0.007237
