transformed_plan_position_x,transformed_plan_position_y,transformed_plan_orientation_z,transformed_plan_orientation_w
0.298590,-0.752981,0.605912,-0.795531
0.267670,-0.710255,-0.718869,0.695146
0.268954,-0.735222,-0.691159,0.722702
0.269900,-0.760204,-0.696487,0.717570
0.270444,-0.785198,-0.702168,0.712011
0.270596,-0.810197,-0.707041,0.707172
0.270453,-0.835197,-0.709855,0.704348
0.270206,-0.860196,-0.711285,0.702903
0.269860,-0.885193,-0.712542,0.701630
0.269435,-0.910189,-0.713665,0.700487
0.268929,-0.935184,-0.714752,0.699378
0.268348,-0.960177,-0.715805,0.698300
0.267691,-0.985169,-0.716846,0.697232
0.266961,-1.010159,-0.717877,0.696170
0.266156,-1.035145,-0.718907,0.695107
0.265278,-1.060130,-0.719936,0.694041
0.264326,-1.085111,-0.720965,0.692971
0.263299,-1.110090,-0.721998,0.691895
0.262197,-1.135066,-0.723040,0.690806
0.261020,-1.160038,-0.724089,0.689707
0.259767,-1.185008,-0.725141,0.688600
0.258437,-1.209972,-0.726199,0.687484
0.257030,-1.234932,-0.727267,0.686354
0.255546,-1.259888,-0.728338,0.685218
0.253982,-1.284839,-0.729418,0.684068
0.252341,-1.309785,-0.730502,0.682911
0.250619,-1.334726,-0.731592,0.681743
0.248818,-1.359661,-0.732690,0.680562
0.246936,-1.384590,-0.733795,0.679371
0.244973,-1.409513,-0.734903,0.678173
0.242928,-1.434429,-0.736014,0.676966
0.240801,-1.459338,-0.737137,0.675743
0.238591,-1.484240,-0.738265,0.674510
0.236297,-1.509135,-0.739397,0.673269
0.233920,-1.534022,-0.740538,0.672014
0.231457,-1.558900,-0.741687,0.670746
0.228910,-1.583769,-0.742845,0.669464
0.226275,-1.608630,-0.744008,0.668171
0.223555,-1.633482,-0.745182,0.666861
0.220746,-1.658324,-0.746365,0.665537
0.217849,-1.683156,-0.747434,0.664337
0.214881,-1.707979,-0.747955,0.663749
0.211905,-1.732800,-0.748040,0.663654
0.208924,-1.757623,-0.748113,0.663571
0.205938,-1.782444,-0.748179,0.663497
0.202947,-1.807264,-0.748236,0.663433
0.199952,-1.832084,-0.748282,0.663381
0.196954,-1.856903,-0.748315,0.663344
0.193955,-1.881723,-0.748338,0.663318
0.190953,-1.906542,-0.748353,0.663301
0.187951,-1.931361,-0.748353,0.663301
0.184950,-1.956181,-0.748345,0.663310
0.181949,-1.981000,-0.748327,0.663330
0.178950,-2.005820,-0.748294,0.663367
0.175955,-2.030639,-0.748256,0.663410
0.172962,-2.055460,-0.748205,0.663468
0.169974,-2.080280,-0.748142,0.663539
0.166990,-2.105101,-0.748073,0.663616
0.164012,-2.129924,-0.747991,0.663709
0.161041,-2.154746,-0.747930,0.663777
0.158072,-2.179570,-0.747915,0.663794
0.155103,-2.204392,-0.747915,0.663794
0.152135,-2.229216,-0.747915,0.663794
0.149166,-2.254039,-0.747910,0.663800
0.146198,-2.278862,-0.747897,0.663815
0.143231,-2.303685,-0.747850,0.663868
